Fruit,Alternative Product,Market,Shop,Location,Profitability Score,Quality Rating
Banana,Fruit-Flavored Tea,Batticaloa Market,Batticaloa Fruit Traders,Batticaloa,9.4,C
Papaya,Fruit Salsa,Matara Market,Matara Fruit Bazaar,Matara,8.1,B
Durian,Canned Fruit Cocktail,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.8,C
Pineapple,Fruit Vinegar,Trincomalee Market,Eastern Fresh Produce,Trincomalee,9.3,A
Beli,Fruit Bars,Matara Market,Matara Fruit Bazaar,Matara,7.7,A
Lychee,Fruit Candy,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.2,C
Banana,Freeze-Dried Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,9.8,B
Ambarella,Fruit Butter,Matara Market,Matara Fruit Bazaar,Matara,9.6,B
Guava,Chutney,Badulla Market,Hill Country Fresh,Badulla,8.4,C
Strawberry,Preserves,Ratnapura Market,Gemland Fruits,Ratnapura,7.5,C
Woodapple,Fruit Snacks,Puttalam Market,Northwest Fruits,Puttalam,9.3,A
Custard Apple,Vinegar,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.4,B
Beli,Sauce,Kurunegala Market,Kurunegala Fruit Hub,Kurunegala,7.7,A
Lychee,Fruit Salad Mix,Matara Market,Matara Fruit Bazaar,Matara,8.3,A
Watermelon,Fruit-Filled Pastries,Puttalam Market,Northwest Fruits,Puttalam,9.3,A
Woodapple,Canned Fruit,Ratnapura Market,Gemland Fruits,Ratnapura,7.6,A
Pineapple,Fruit-Filled Pastries,Ratnapura Market,Gemland Fruits,Ratnapura,8.9,A
Strawberry,Fruit Bars,Anuradhapura Market,Sacred City Agro,Anuradhapura,8.7,C
Soursop,Freeze-Dried Fruit,Trincomalee Market,Eastern Fresh Produce,Trincomalee,7.7,C
Mangosteen,Fruit Puree,Badulla Market,Hill Country Fresh,Badulla,9.7,C
Pineapple,Sauce,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.6,C
Durian,Fruit Pizza,Ratnapura Market,Gemland Fruits,Ratnapura,9.8,A
Custard Apple,Fruit Bars,Badulla Market,Hill Country Fresh,Badulla,7.9,B
Rambutan,Fruit Vinegar,Jaffna Market,Northern Fresh Fruits,Jaffna,8.0,A
Ambarella,Jelly,Kandy Central Market,Highland Fruit Mart,Kandy,8.7,C
Kiwi,Fruit Butter,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.3,B
Beli,Essential Oil,Jaffna Market,Northern Fresh Fruits,Jaffna,9.2,A
Durian,Freeze-Dried Fruit,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.4,A
Grapes,Fruit Topping,Anuradhapura Market,Sacred City Agro,Anuradhapura,9.3,B
Jackfruit,Fruit-Based Dietary Supplements,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.9,B
Mangosteen,Jam,Puttalam Market,Northwest Fruits,Puttalam,9.6,C
Blueberry,Fruit Butter,Galle Fruit Market,Southern Agro Supplies,Galle,10.0,C
Guava,Fruit Puree,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.8,C
Woodapple,Vinegar,Negombo Fish Market,Negombo Fresh Supplies,Negombo,9.2,C
Mangosteen,Fermented Drink,Jaffna Market,Northern Fresh Fruits,Jaffna,9.7,A
Peach,Fruit Salsa,Badulla Market,Hill Country Fresh,Badulla,7.9,C
Soursop,Vinegar,Negombo Fish Market,Negombo Fresh Supplies,Negombo,8.0,C
Banana,Marmalade,Negombo Fish Market,Negombo Fresh Supplies,Negombo,7.7,C
Ambarella,Nectar,Matara Market,Matara Fruit Bazaar,Matara,8.7,A
Papaya,Sauce,Trincomalee Market,Eastern Fresh Produce,Trincomalee,8.0,A
Papaya,Flavored Yogurt,Matara Market,Matara Fruit Bazaar,Matara,9.0,A
Beli,Fruit-Infused Water,Colombo Pettah Market,Fruit Lanka Traders,Colombo,9.6,B
